atom,gamma_code,code_length,formula_length,length_match,translation,derivative,expected_derivative,derivative_match,closed_disk_image_bound,common_compact_containment,global_prefix_free,inventory_tags,inventory_filter_stage,candidate_target_calls
2,010,3,3,True,-3/16,1/8,1/8,True,5/16,True,True,prime_evaluator|fibonacci_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
3,011,3,3,True,5/16,1/8,1/8,True,7/16,True,True,prime_evaluator|fibonacci_control|all_integer_control,post_freeze_evaluator,0
4,00100,5,5,True,-23/64,1/32,1/32,True,25/64,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
5,00101,5,5,True,9/64,1/32,1/32,True,11/64,True,True,prime_evaluator|fibonacci_control|all_integer_control,post_freeze_evaluator,0
6,00110,5,5,True,-7/64,1/32,1/32,True,9/64,True,True,all_integer_control,post_freeze_evaluator,0
7,00111,5,5,True,25/64,1/32,1/32,True,27/64,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
8,0001000,7,7,True,-111/256,1/128,1/128,True,113/256,True,True,fibonacci_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
9,0001001,7,7,True,17/256,1/128,1/128,True,19/256,True,True,square_control|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
10,0001010,7,7,True,-47/256,1/128,1/128,True,49/256,True,True,all_integer_control,post_freeze_evaluator,0
11,0001011,7,7,True,81/256,1/128,1/128,True,83/256,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
12,0001100,7,7,True,-79/256,1/128,1/128,True,81/256,True,True,all_integer_control,post_freeze_evaluator,0
13,0001101,7,7,True,49/256,1/128,1/128,True,51/256,True,True,prime_evaluator|fibonacci_control|all_integer_control|matched_density_hash,post_freeze_evaluator,0
14,0001110,7,7,True,-15/256,1/128,1/128,True,17/256,True,True,all_integer_control,post_freeze_evaluator,0
15,0001111,7,7,True,113/256,1/128,1/128,True,115/256,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
16,000010000,9,9,True,-479/1024,1/512,1/512,True,481/1024,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
17,000010001,9,9,True,33/1024,1/512,1/512,True,35/1024,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
18,000010010,9,9,True,-223/1024,1/512,1/512,True,225/1024,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
19,000010011,9,9,True,289/1024,1/512,1/512,True,291/1024,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
20,000010100,9,9,True,-351/1024,1/512,1/512,True,353/1024,True,True,all_integer_control,post_freeze_evaluator,0
21,000010101,9,9,True,161/1024,1/512,1/512,True,163/1024,True,True,fibonacci_control|all_integer_control,post_freeze_evaluator,0
22,000010110,9,9,True,-95/1024,1/512,1/512,True,97/1024,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
23,000010111,9,9,True,417/1024,1/512,1/512,True,419/1024,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
24,000011000,9,9,True,-415/1024,1/512,1/512,True,417/1024,True,True,all_integer_control,post_freeze_evaluator,0
25,000011001,9,9,True,97/1024,1/512,1/512,True,99/1024,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
26,000011010,9,9,True,-159/1024,1/512,1/512,True,161/1024,True,True,all_integer_control,post_freeze_evaluator,0
27,000011011,9,9,True,353/1024,1/512,1/512,True,355/1024,True,True,all_integer_control,post_freeze_evaluator,0
28,000011100,9,9,True,-287/1024,1/512,1/512,True,289/1024,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
29,000011101,9,9,True,225/1024,1/512,1/512,True,227/1024,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
30,000011110,9,9,True,-31/1024,1/512,1/512,True,33/1024,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
31,000011111,9,9,True,481/1024,1/512,1/512,True,483/1024,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
32,00000100000,11,11,True,-1983/4096,1/2048,1/2048,True,1985/4096,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
33,00000100001,11,11,True,65/4096,1/2048,1/2048,True,67/4096,True,True,all_integer_control,post_freeze_evaluator,0
34,00000100010,11,11,True,-959/4096,1/2048,1/2048,True,961/4096,True,True,fibonacci_control|all_integer_control,post_freeze_evaluator,0
35,00000100011,11,11,True,1089/4096,1/2048,1/2048,True,1091/4096,True,True,all_integer_control,post_freeze_evaluator,0
36,00000100100,11,11,True,-1471/4096,1/2048,1/2048,True,1473/4096,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
37,00000100101,11,11,True,577/4096,1/2048,1/2048,True,579/4096,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
38,00000100110,11,11,True,-447/4096,1/2048,1/2048,True,449/4096,True,True,all_integer_control,post_freeze_evaluator,0
39,00000100111,11,11,True,1601/4096,1/2048,1/2048,True,1603/4096,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
40,00000101000,11,11,True,-1727/4096,1/2048,1/2048,True,1729/4096,True,True,all_integer_control,post_freeze_evaluator,0
41,00000101001,11,11,True,321/4096,1/2048,1/2048,True,323/4096,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
42,00000101010,11,11,True,-703/4096,1/2048,1/2048,True,705/4096,True,True,all_integer_control,post_freeze_evaluator,0
43,00000101011,11,11,True,1345/4096,1/2048,1/2048,True,1347/4096,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
44,00000101100,11,11,True,-1215/4096,1/2048,1/2048,True,1217/4096,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
45,00000101101,11,11,True,833/4096,1/2048,1/2048,True,835/4096,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
46,00000101110,11,11,True,-191/4096,1/2048,1/2048,True,193/4096,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
47,00000101111,11,11,True,1857/4096,1/2048,1/2048,True,1859/4096,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
48,00000110000,11,11,True,-1855/4096,1/2048,1/2048,True,1857/4096,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
49,00000110001,11,11,True,193/4096,1/2048,1/2048,True,195/4096,True,True,square_control|all_integer_control,post_freeze_evaluator,0
50,00000110010,11,11,True,-831/4096,1/2048,1/2048,True,833/4096,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
51,00000110011,11,11,True,1217/4096,1/2048,1/2048,True,1219/4096,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
52,00000110100,11,11,True,-1343/4096,1/2048,1/2048,True,1345/4096,True,True,all_integer_control,post_freeze_evaluator,0
53,00000110101,11,11,True,705/4096,1/2048,1/2048,True,707/4096,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
54,00000110110,11,11,True,-319/4096,1/2048,1/2048,True,321/4096,True,True,all_integer_control,post_freeze_evaluator,0
55,00000110111,11,11,True,1729/4096,1/2048,1/2048,True,1731/4096,True,True,fibonacci_control|all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
56,00000111000,11,11,True,-1599/4096,1/2048,1/2048,True,1601/4096,True,True,all_integer_control,post_freeze_evaluator,0
57,00000111001,11,11,True,449/4096,1/2048,1/2048,True,451/4096,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
58,00000111010,11,11,True,-575/4096,1/2048,1/2048,True,577/4096,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
59,00000111011,11,11,True,1473/4096,1/2048,1/2048,True,1475/4096,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
60,00000111100,11,11,True,-1087/4096,1/2048,1/2048,True,1089/4096,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
61,00000111101,11,11,True,961/4096,1/2048,1/2048,True,963/4096,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
62,00000111110,11,11,True,-63/4096,1/2048,1/2048,True,65/4096,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
63,00000111111,11,11,True,1985/4096,1/2048,1/2048,True,1987/4096,True,True,all_integer_control,post_freeze_evaluator,0
64,0000001000000,13,13,True,-8063/16384,1/8192,1/8192,True,8065/16384,True,True,square_control|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
65,0000001000001,13,13,True,129/16384,1/8192,1/8192,True,131/16384,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
66,0000001000010,13,13,True,-3967/16384,1/8192,1/8192,True,3969/16384,True,True,all_integer_control,post_freeze_evaluator,0
67,0000001000011,13,13,True,4225/16384,1/8192,1/8192,True,4227/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
68,0000001000100,13,13,True,-6015/16384,1/8192,1/8192,True,6017/16384,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
69,0000001000101,13,13,True,2177/16384,1/8192,1/8192,True,2179/16384,True,True,all_integer_control,post_freeze_evaluator,0
70,0000001000110,13,13,True,-1919/16384,1/8192,1/8192,True,1921/16384,True,True,all_integer_control,post_freeze_evaluator,0
71,0000001000111,13,13,True,6273/16384,1/8192,1/8192,True,6275/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
72,0000001001000,13,13,True,-7039/16384,1/8192,1/8192,True,7041/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
73,0000001001001,13,13,True,1153/16384,1/8192,1/8192,True,1155/16384,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
74,0000001001010,13,13,True,-2943/16384,1/8192,1/8192,True,2945/16384,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
75,0000001001011,13,13,True,5249/16384,1/8192,1/8192,True,5251/16384,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
76,0000001001100,13,13,True,-4991/16384,1/8192,1/8192,True,4993/16384,True,True,all_integer_control,post_freeze_evaluator,0
77,0000001001101,13,13,True,3201/16384,1/8192,1/8192,True,3203/16384,True,True,all_integer_control,post_freeze_evaluator,0
78,0000001001110,13,13,True,-895/16384,1/8192,1/8192,True,897/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
79,0000001001111,13,13,True,7297/16384,1/8192,1/8192,True,7299/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
80,0000001010000,13,13,True,-7551/16384,1/8192,1/8192,True,7553/16384,True,True,all_integer_control,post_freeze_evaluator,0
81,0000001010001,13,13,True,641/16384,1/8192,1/8192,True,643/16384,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
82,0000001010010,13,13,True,-3455/16384,1/8192,1/8192,True,3457/16384,True,True,all_integer_control,post_freeze_evaluator,0
83,0000001010011,13,13,True,4737/16384,1/8192,1/8192,True,4739/16384,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
84,0000001010100,13,13,True,-5503/16384,1/8192,1/8192,True,5505/16384,True,True,all_integer_control,post_freeze_evaluator,0
85,0000001010101,13,13,True,2689/16384,1/8192,1/8192,True,2691/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
86,0000001010110,13,13,True,-1407/16384,1/8192,1/8192,True,1409/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
87,0000001010111,13,13,True,6785/16384,1/8192,1/8192,True,6787/16384,True,True,all_integer_control,post_freeze_evaluator,0
