word,word_length,base_matrix,conjugator_id,conjugator_matrix,conjugate_matrix,base_trace,conjugate_trace,base_determinant,conjugator_determinant,conjugate_determinant,base_c_mod_11,conjugator_c_mod_11,conjugate_c_mod_11,trace_invariant_exact,square_conjugacy_identity_exact,cube_conjugacy_identity_exact,inverse_orientation_identity_exact,oriented_period_owner,reverse_orientation_law,repetition_law,analytic_evidence_token,finite_check_evidence_token
LRRLRRR,7,"[[15,4],[11,3]]",identity,"[[1,0],[0,1]]","[[15,4],[11,3]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",T_plus_1,"[[1,1],[0,1]]","[[26,-19],[11,-8]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",T_minus_1,"[[1,-1],[0,1]]","[[4,5],[11,14]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",T_plus_2,"[[1,2],[0,1]]","[[37,-64],[11,-19]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",T_minus_2,"[[1,-2],[0,1]]","[[-7,-16],[11,25]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",V_plus,"[[1,0],[11,1]]","[[-29,4],[-341,47]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",V_minus,"[[1,0],[-11,1]]","[[59,4],[-605,-41]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",T_then_V,"[[12,1],[11,1]]","[[-370,421],[-341,388]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LRRLRRR,7,"[[15,4],[11,3]]",V_then_T,"[[1,1],[11,12]]","[[235,-19],[2684,-217]]",18,18,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",identity,"[[1,0],[0,1]]","[[30,19],[11,7]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",T_plus_1,"[[1,1],[0,1]]","[[41,-15],[11,-4]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",T_minus_1,"[[1,-1],[0,1]]","[[19,31],[11,18]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",T_plus_2,"[[1,2],[0,1]]","[[52,-71],[11,-15]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",T_minus_2,"[[1,-2],[0,1]]","[[8,21],[11,29]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",V_plus,"[[1,0],[11,1]]","[[-179,19],[-2035,216]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",V_minus,"[[1,0],[-11,1]]","[[239,19],[-2541,-202]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",T_then_V,"[[12,1],[11,1]]","[[-2214,2449],[-2035,2251]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
LLRLLRLR,8,"[[30,19],[11,7]]",V_then_T,"[[1,1],[11,12]]","[[206,-15],[2321,-169]]",37,37,1,1,1,0,0,0,true,true,true,true,SAME_GAMMA0_11_CONJUGACY_CLASS,I(M^-1)=-I(M),I(M^r)=r*I(M),PROVED,NUMERICALLY_CERTIFIED
