block,raw_rows,exact_passes,failures,control_or_baseline,delta
source_compiler,4,4,0,four source relations,all primitive systems exact
native_and_infinite_gram,52,52,0,independent weighted-trace recomputation,nonnegative finite kernels; strictly positive prime formulas
schatten_and_non_s2_firewall,12,12,0,strict q*Re(s)>1 criterion,q=3 first common strip; q=2 excluded on critical line
finite_b2_diagnostic,4,4,0,direct block product versus Gram expansion,motion exact but finite-cutoff only
det3_and_b4,15,15,0,modified determinant power ledger,"powers 1,2 deleted; first visible power 4 has positive unique frequencies"
metric_rigidity,8,8,0,full versus active-only positive metrics,active atoms coordinate-diagonalize in every certified metric
orthogonalized_det3,4,4,0,orthogonal atom blocks,all t-phase disappears with obliqueness
adversarial_sources,4,4,0,"standard, mutated, composite-only, seeded DAG",the same motion occurs on every control: PROVES_TOO_MUCH
marker_u1_ownership,24,24,0,"three labels, repetitions one through eight",u^(r ell) retained; u=1 owns the theorem
common_t_samples,12,0,0,three display points per fixture,nongating display only; symbolic ledgers decide claims
