schema_version,row_id,k_index,t,u,v,r_tu,r_tplusu_v,r_uv,r_t_uplusv,defect_numerator_24,defect_multiple_2pi,is_integer_multiple,normalization_axes,cocycle_mod24,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,LI-0001,-6,-2,-2,-2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0002,-6,-2,-2,-1,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0003,-6,-2,-2,0,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0004,-6,-2,-2,1,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0005,-6,-2,-2,2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0006,-6,-2,-1,-2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0007,-6,-2,-1,-1,0,-12,-12,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0008,-6,-2,-1,0,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0009,-6,-2,-1,1,0,-12,-12,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0010,-6,-2,-1,2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0011,-6,-2,0,-2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0012,-6,-2,0,-1,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0013,-6,-2,0,0,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0014,-6,-2,0,1,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0015,-6,-2,0,2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0016,-6,-2,1,-2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0017,-6,-2,1,-1,0,-12,-12,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0018,-6,-2,1,0,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0019,-6,-2,1,1,0,-12,-12,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
paper13-circle-twists-controls/1,LI-0020,-6,-2,1,2,0,0,0,0,0,0,true,true,0,DIAGNOSTIC,,LIFT_DEFECT_IN_2PI_Z,0,PASS
