schema_version,row_id,row_family,case_kind,prime_token,generic_theorem_state,actual_topology_input,stabilizer_input,claim_token,subject_value,oracle_value,source_binding,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,FP-0001,GENERIC_PRECONDITION,RECEIPT,,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,,,GENERIC_PRECONDITION,generic_theorem_state=PROVED_UPSTREAM_BEFORE_SUBSTITUTION,generic_theorem_state=PROVED_UPSTREAM_BEFORE_SUBSTITUTION,P17-P2-CONTROL-DESIGN-GATE-v1.0:C17-8,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0002,FIXED_PRIME_SUBSTITUTION,RECEIPT,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,FIXED_PRIME_SUBSTITUTION,prime=2;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 2)Z,prime=2;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 2)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0003,FIXED_PRIME_SUBSTITUTION,RECEIPT,3,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 3)Z,FIXED_PRIME_SUBSTITUTION,prime=3;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 3)Z,prime=3;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 3)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0004,FIXED_PRIME_SUBSTITUTION,RECEIPT,5,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 5)Z,FIXED_PRIME_SUBSTITUTION,prime=5;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 5)Z,prime=5;topology=INDISCRETE_FROM_PAPER9;stabilizer=(log 5)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0005,ALLOWED_P9_INPUT,RECEIPT,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,INDISCRETENESS,INDISCRETE_FROM_PAPER9,INDISCRETE_FROM_PAPER9,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0006,ALLOWED_P9_INPUT,RECEIPT,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,LITERAL_STABILIZER,(log 2)Z,(log 2)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0007,ALLOWED_P9_INPUT,RECEIPT,3,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 3)Z,INDISCRETENESS,INDISCRETE_FROM_PAPER9,INDISCRETE_FROM_PAPER9,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0008,ALLOWED_P9_INPUT,RECEIPT,3,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 3)Z,LITERAL_STABILIZER,(log 3)Z,(log 3)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0009,ALLOWED_P9_INPUT,RECEIPT,5,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 5)Z,INDISCRETENESS,INDISCRETE_FROM_PAPER9,INDISCRETE_FROM_PAPER9,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0010,ALLOWED_P9_INPUT,RECEIPT,5,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 5)Z,LITERAL_STABILIZER,(log 5)Z,(log 5)Z,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,,,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
