element_id,positive_word,matrix_a,matrix_b,matrix_c,matrix_d,determinant,trace,hyperbolic,gamma3_member,positive_word_primitive,gamma3_class_primitivity,base_geodesic_length,level_n,modulus_q,quotient_convention,psl_order_sequential,psl_order_group_bound,order_crosscheck,terminal_scalar_sign,previous_order_divides,bonding_compatibility,cumulative_common_multiplier,same_time_compatible_through_level,finite_level_period_scale,finite_level_closed_lift_period,period_scaling_residual,normality_basis,lift_representative_eta_n,statistic_owner,inverse_limit_flow_credit,evidence_status
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,1,3,PSL_2(Z/qZ); A and -A identified,1,1,true,+1,true,true,1,true,1,4.77905286914844,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,2,6,PSL_2(Z/qZ); A and -A identified,3,3,true,+1,true,true,3,true,3,14.3371586074453,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,3,18,PSL_2(Z/qZ); A and -A identified,3,3,true,+1,true,true,3,true,3,14.3371586074453,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,4,72,PSL_2(Z/qZ); A and -A identified,6,6,true,+1,true,true,6,true,6,28.6743172148906,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,5,360,PSL_2(Z/qZ); A and -A identified,6,6,true,+1,true,true,6,true,6,28.6743172148906,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,6,2160,PSL_2(Z/qZ); A and -A identified,36,36,true,+1,true,true,36,true,36,172.045903289344,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,7,15120,PSL_2(Z/qZ); A and -A identified,72,72,true,+1,true,true,72,true,72,344.091806578687,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-A,LLLRRR,10,3,3,1,1,11,true,true,true,OPEN,4.77905286914844,8,120960,PSL_2(Z/qZ); A and -A identified,288,288,true,+1,true,true,288,true,288,1376.36722631475,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-B,LLRLRRLR,31,18,12,7,1,38,true,true,true,OPEN,7.27378583692827,1,3,PSL_2(Z/qZ); A and -A identified,1,1,true,+1,true,true,1,true,1,7.27378583692827,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
G3-B,LLRLRRLR,31,18,12,7,1,38,true,true,true,OPEN,7.27378583692827,2,6,PSL_2(Z/qZ); A and -A identified,1,1,true,+1,true,true,1,true,1,7.27378583692827,0,Gamma(q)=kernel(PSL2Z->PSL2(Z/qZ)),identity coset witness,FINITE_CONGRUENCE_TOWER_REDUCTION_DIAGNOSTIC,FORBIDDEN,NUMERICALLY_CERTIFIED
