source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
P32-S01	Cannon (1984)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	B	hyperbolic_group_normal_forms_only	Finite combinatorial structure for cocompact hyperbolic groups	Marked genus-two owner interface, maximal roots, or prefix completeness	Foundational normal-form ingredient	anchor:none; metadata and abstract scope only; frozen presentation not instantiated
P32-S02	Epstein and Holt (2006)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	B	hyperbolic_group_conjugacy_only	Terminating conjugacy algorithm surface for word-hyperbolic groups	Deterministic owner serialization, maximal roots, or certified prefix	General conjugacy ingredient	anchor:none; pages corrected to 287-305 under R10PH2-C05; metadata and abstract scope only
P32-S03	Bridson and Howie (2005)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	B	hyperbolic_group_subset_conjugacy_only	Conjugacy of finite subsets in hyperbolic groups	SG2OwnerCanonical-v1 or enumerate-prefix completeness	Batch-consistency ingredient	anchor:none; author manuscript available but not claim-verified; no exact theorem anchor frozen
P32-S04	Buckley and Holt (2013)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	B	hyperbolic_group_list_conjugacy_only	Finite-list conjugacy algorithms	Theorem-to-code binding, orientation, roots, or enumeration completeness	Panel-level decision candidate	anchor:none; metadata and abstract scope only; project translation unproved
P32-S05	Lysenok (1990)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	A	hyperbolic_group_root_extraction_only	Root-extraction solvability surface in hyperbolic groups	Frozen return schema, uniqueness binding, owner composition, or prefix certificate	Strong root-layer candidate	anchor:none; authoritative record and full text available but theorem output schema not verified
P32-S06	Wang, Zhang, and Zhao (2025)	T1 canonical owners, conjugacy, roots, and prefix completeness	VERIFIED	C	surface_group_preprint_candidate_only	Recent surface-group normal forms, conjugacy, and root-finding candidate	Peer-reviewed validation or equivalence to the frozen marked presentation	Surface-specific candidate with preprint warning	anchor:none; non-peer-reviewed arXiv v2 record; presentation compatibility unverified
P32-S07	Jassim (1984)	T2 homology covers, lift structure, and owner content	VERIFIED	B	finite_abelian_surface_cover_background_only	Finite abelian surface-cover structure	Frozen owner order, lift multiplicity, period, or normalization	Cover-structure ingredient	anchor:none; metadata and abstract scope only; ownerwise lift formula not verified
P32-S08	Sunada (1985)	T2 homology covers, lift structure, and owner content	VERIFIED	B	riemannian_cover_background_only	Finite Riemannian coverings and group actions	Independent-owner lift factor or 1/N and 1/N^3 scaling	Cover and representation background	anchor:none; publisher text available but not source-text verified
P32-S09	Phillips and Sarnak (1987)	T2 homology covers, lift structure, and owner content	VERIFIED	B	homology_geodesic_asymptotics_only	Distribution of closed geodesics by homology class	Canonical owner enumeration or diagnostic-panel certification	Homology-population and tail ingredient	anchor:none; metadata and abstract scope only; primitive-oriented compatibility unverified
P32-S10	Katsuda and Sunada (1988)	T2 homology covers, lift structure, and owner content	VERIFIED	B	homology_geodesic_asymptotics_only	Homology distribution on compact Riemann surfaces	Ownerwise lift order or target-blind certified panel	Homology-population ingredient	anchor:none; metadata and abstract scope only; panel interface not established
P32-S11	Katsuda and Sunada (1990)	T2 homology covers, lift structure, and owner content	VERIFIED	B	homology_orbit_asymptotics_only	Closed-orbit asymptotics in homology classes	Primitive-owner compatibility or compact-uniform product tail	Homology-stratum abundance candidate	anchor:none; publisher text available but exact tail hypotheses not verified
P32-S12	Cornelissen and Peyerimhoff (2023)	T2 homology covers, lift structure, and owner content	VERIFIED	C	cover_splitting_background_only	Modern cover splitting and decomposition language	Project normalization, owner topology, or universal endpoint	Modern cover-splitting background	anchor:none; publisher preview only; scholarly chapter non-peer-reviewed in ratio audit
P32-S13	Selberg (1956)	T3 primitive-orbit products and finite-cover analytic context	PLAUSIBLE	B	selberg_trace_zeta_background_only	Foundational Selberg trace and zeta context	Ownerwise renormalized factor, topology, or frozen limit order	Historical product context only	anchor:none; DOI-less authoritative journal record; existence remains PLAUSIBLE and theorem text unverified
