source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P30-S01	VERIFIED	RESOLVED_POST_VERIFICATION	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://pubs.aip.org/jcp/article/90/4/2225/463933/Scattering-from-a-classically-chaotic	Classical three-hard-disk model and physical geometry only; patched bibliography now binds correction companion DOI 10.1063/1.457669, which remains mandatory before formula-level use; cannot certify project roof ledger or determinant.
P30-S02	VERIFIED	RESOLVED_POST_VERIFICATION	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://pubs.aip.org/jcp/article/90/4/2242/463979/Semiclassical-quantization-of-the-scattering-from	Semiclassical periodic-orbit and Ruelle-zeta construction only; patched bibliography now binds correction companion DOI 10.1063/1.457669, which remains mandatory for affected use; not the classical physical-roof determinant.
P30-S03	VERIFIED	RESOLVED_POST_VERIFICATION	VI	C	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://pubs.aip.org/jcp/article/90/4/2255/464015/Exact-quantization-of-the-scattering-from-a	Exact quantum S-matrix determinant is a typed comparator only; patched bibliography now binds correction companion DOI 10.1063/1.457670, which remains mandatory for affected use; cannot substitute for a classical transfer determinant.
P30-S04	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.63.823	Supports three-disk periodic-orbit and cycle organization; does not prove nuclearity or the four-error numerical contract.
P30-S05	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://iopscience.iop.org/article/10.1088/0305-4470/24/5/005	Supports cycle expansions for classical smooth flows; no project-specific convergence or coefficient certificate.
P30-S06	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://www.sciencedirect.com/science/article/pii/S0370157398000362	Supports n-disk coding and determinant-type distinctions; quantum trace-class results do not transfer to the frozen classical roof operator.
P30-S07	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://www.jstor.org/stable/2373793	Supports general symbolic and Markov coding of hyperbolic flows; does not identify the exact three-disk section or physical roof.
P30-S08	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://link.springer.com/article/10.1007/BF01389848	Supports general Axiom-A flow and suspension formalism; exact open-three-disk applicability must be proved separately.
P30-S09	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://aif.centre-mersenne.org/articles/10.5802/aif.1137/	Supports rigorous several-convex-obstacle trajectory geometry; not Paper 30's operator, basis, or numerical contract.
P30-S10	VERIFIED	EXACT	VI	B	ESTABLISHED_RESEARCH_PROCEEDINGS_NOT_PEER_REVIEW_COUNTED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://proceedings.centre-mersenne.org/articles/10.5802/jedp.457/	Supports a primary zeta/scattering bridge for several convex bodies; no peer-reviewed-journal weight or roof-ledger certificate.
