source_id	source_identity_state	component_or_claim_role	exact_passage_locator	passage_status	hypotheses	correction_state	applicability_statement	prohibited_stronger_transfer	verified_record_locator	evidence_note
P32-S01	VERIFIED	Finite combinatorial structure for cocompact hyperbolic groups		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: hyperbolic_group_normal_forms_only	NOT_CHECKED	Finite combinatorial structure for cocompact hyperbolic groups	Marked genus-two owner interface, maximal roots, or prefix completeness	https://doi.org/10.1007/BF00146825	anchor:none; metadata and abstract scope only; frozen presentation not instantiated; no theorem passage was reconstructed
P32-S02	VERIFIED	Terminating conjugacy algorithm surface for word-hyperbolic groups		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: hyperbolic_group_conjugacy_only	BIBLIOGRAPHIC_PAGE_CORRECTION_R10PH2_C05_APPLIED; THEOREM_PASSAGE_UNFINALIZED	Terminating conjugacy algorithm surface for word-hyperbolic groups	Deterministic owner serialization, maximal roots, or certified prefix	https://doi.org/10.1142/S0218196706002986	anchor:none; pages corrected to 287-305 under R10PH2-C05; metadata and abstract scope only; no theorem passage was reconstructed
P32-S03	VERIFIED	Conjugacy of finite subsets in hyperbolic groups		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: hyperbolic_group_subset_conjugacy_only	NOT_CHECKED	Conjugacy of finite subsets in hyperbolic groups	SG2OwnerCanonical-v1 or enumerate-prefix completeness	https://doi.org/10.1142/S0218196705002529	anchor:none; author manuscript available but not claim-verified; no exact theorem anchor frozen; no theorem passage was reconstructed
P32-S04	VERIFIED	Finite-list conjugacy algorithms		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: hyperbolic_group_list_conjugacy_only	NOT_CHECKED	Finite-list conjugacy algorithms	Theorem-to-code binding, orientation, roots, or enumeration completeness	https://doi.org/10.1142/S0218196713500203	anchor:none; metadata and abstract scope only; project translation unproved; no theorem passage was reconstructed
P32-S05	VERIFIED	Root-extraction solvability surface in hyperbolic groups		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: hyperbolic_group_root_extraction_only	NOT_CHECKED	Root-extraction solvability surface in hyperbolic groups	Frozen return schema, uniqueness binding, owner composition, or prefix certificate	https://www.mathnet.ru/eng/im1275	anchor:none; authoritative record and full text available but theorem output schema not verified; no theorem passage was reconstructed
P32-S06	VERIFIED	Recent surface-group normal forms, conjugacy, and root-finding candidate		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: surface_group_preprint_candidate_only	NOT_CHECKED	Recent surface-group normal forms, conjugacy, and root-finding candidate	Peer-reviewed validation or equivalence to the frozen marked presentation	https://arxiv.org/abs/2511.12862	anchor:none; non-peer-reviewed arXiv v2 record; presentation compatibility unverified; no theorem passage was reconstructed
P32-S07	VERIFIED	Finite abelian surface-cover structure		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: finite_abelian_surface_cover_background_only	NOT_CHECKED	Finite abelian surface-cover structure	Frozen owner order, lift multiplicity, period, or normalization	https://doi.org/10.1017/S0017089500005632	anchor:none; metadata and abstract scope only; ownerwise lift formula not verified; no theorem passage was reconstructed
P32-S08	VERIFIED	Finite Riemannian coverings and group actions		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: riemannian_cover_background_only	NOT_CHECKED	Finite Riemannian coverings and group actions	Independent-owner lift factor or 1/N and 1/N^3 scaling	https://doi.org/10.2307/1971195	anchor:none; publisher text available but not source-text verified; no theorem passage was reconstructed
P32-S09	VERIFIED	Distribution of closed geodesics by homology class		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: homology_geodesic_asymptotics_only	NOT_CHECKED	Distribution of closed geodesics by homology class	Canonical owner enumeration or diagnostic-panel certification	https://doi.org/10.1215/S0012-7094-87-05515-3	anchor:none; metadata and abstract scope only; primitive-oriented compatibility unverified; no theorem passage was reconstructed
P32-S10	VERIFIED	Homology distribution on compact Riemann surfaces		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: homology_geodesic_asymptotics_only	NOT_CHECKED	Homology distribution on compact Riemann surfaces	Ownerwise lift order or target-blind certified panel	https://doi.org/10.2307/2374542	anchor:none; metadata and abstract scope only; panel interface not established; no theorem passage was reconstructed
P32-S11	VERIFIED	Closed-orbit asymptotics in homology classes		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: homology_orbit_asymptotics_only	NOT_CHECKED	Closed-orbit asymptotics in homology classes	Primitive-owner compatibility or compact-uniform product tail	https://doi.org/10.1007/BF02699875	anchor:none; publisher text available but exact tail hypotheses not verified; no theorem passage was reconstructed
P32-S12	VERIFIED	Modern cover splitting and decomposition language		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: cover_splitting_background_only	NOT_CHECKED	Modern cover splitting and decomposition language	Project normalization, owner topology, or universal endpoint	https://doi.org/10.1007/978-3-031-27704-7_10	anchor:none; publisher preview only; scholarly chapter non-peer-reviewed in ratio audit; no theorem passage was reconstructed
P32-S13	VERIFIED_BY_LATER_STAGE2_5_METADATA_REPAIR; PASSAGE_SCOPE_UNCHANGED	Foundational Selberg trace and zeta context		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: selberg_trace_zeta_background_only	NOT_CHECKED	Foundational Selberg trace and zeta context	Ownerwise renormalized factor, topology, or frozen limit order	https://www.i-scholar.in/index.php/JIMSIMS/article/view/146884	anchor:none; DOI-less authoritative journal record; existence remains PLAUSIBLE and theorem text unverified; no theorem passage was reconstructed
P32-S14	VERIFIED	Primitive-orbit dynamical-zeta context		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: ruelle_zeta_background_only	NOT_CHECKED	Primitive-orbit dynamical-zeta context	Formal-to-scalar identification or chosen normalization	https://doi.org/10.1007/BF01403069	anchor:none; metadata and abstract scope only; project specialization not verified; no theorem passage was reconstructed
P32-S15	VERIFIED	Axiom-A prime-orbit asymptotics		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: prime_orbit_asymptotics_only	NOT_CHECKED	Axiom-A prime-orbit asymptotics	Owner-content-uniform bound needed for limit interchange	https://doi.org/10.2307/2006982	anchor:none; metadata and abstract scope only; exact frozen uniformity not established; no theorem passage was reconstructed
P32-S16	VERIFIED	Artin formalism for finite-index Selberg zeta functions		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: finite_cover_zeta_factorization_only	NOT_CHECKED	Artin formalism for finite-index Selberg zeta functions	Coefficientwise owner recovery, frozen clock, or infinite homology-tower limit	https://doi.org/10.5802/jtnb.657	anchor:none; publisher text available but ownerwise renormalization mapping unverified; no theorem passage was reconstructed
P32-S17	VERIFIED	Erratum-unaffected first-part meromorphic-continuation surface		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: meromorphic_continuation_unaffected_scope_only	KNOWN_2022_ERRATUM_BOUND; AFFECTED_SECTION_7_AND_DEPENDENT_COUNTING_EXCLUDED	Erratum-unaffected first-part meromorphic-continuation surface	Affected Section 7 spectral-gap or dependent counting consequences	https://doi.org/10.4007/annals.2013.178.2.6	anchor:none; 2022 erratum binding mandatory; only unaffected scope admitted; no theorem passage was reconstructed
P32-S18	VERIFIED	Independent microlocal meromorphic-continuation route		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: anosov_zeta_continuation_only	NOT_CHECKED	Independent microlocal meromorphic-continuation route	Homology-cover normalization or ownerwise equality	https://doi.org/10.24033/ASENS.2290	anchor:none; publisher text available but project-specific mapping unverified; no theorem passage was reconstructed
P32-S19	VERIFIED	Renewal and geodesic-counting methods		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: geodesic_tail_candidate_only	NOT_CHECKED	Renewal and geodesic-counting methods	Already-established absolute owner-stratified tail on every frozen compact	https://doi.org/10.1007/BF02392732	anchor:none; metadata and abstract scope only; exact summand and uniformity unverified; no theorem passage was reconstructed
P32-S20	VERIFIED	Foundational prime-geodesic growth context		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: prime_geodesic_growth_background_only	NOT_CHECKED	Foundational prime-geodesic growth context	Explicit summable compact-uniform tail or owner-content control	https://doi.org/10.1007/BF01076325	anchor:none; short metadata and abstract scope; insufficient for exact bound extraction; no theorem passage was reconstructed
P32-S21	VERIFIED	Homology-refined closed-orbit asymptotics		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: homology_orbit_asymptotics_only	NOT_CHECKED	Homology-refined closed-orbit asymptotics	Canonical genus-two panel or simultaneous limit theorem	https://doi.org/10.1017/S0143385700007434	anchor:none; metadata and abstract scope only; owner and limit compatibility unverified; no theorem passage was reconstructed
P32-S22	VERIFIED	Exponential error terms for negatively curved surface growth		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: geodesic_error_term_candidate_only	NOT_CHECKED	Exponential error terms for negatively curved surface growth	Exact frozen sum, compact uniformity, or every declared limit order	https://doi.org/10.1353/AJM.1998.0041	anchor:none; metadata and abstract scope only; theorem-to-tail mapping not extracted; no theorem passage was reconstructed
P32-S23	VERIFIED	Ordered-division-ring and well-ordered-support background		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: formal_hahn_background_only	NOT_CHECKED	Ordered-division-ring and well-ordered-support background	P32 support convention, comparison map, owner product, or normalization	https://doi.org/10.1090/S0002-9947-1949-0032593-5	anchor:none; publisher text available but no P32-specific formal mapping verified; no theorem passage was reconstructed
P32-S24	VERIFIED	Inverse-limit and countably-many-variable topology precedent		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: inverse_limit_topology_background_only	NOT_CHECKED	Inverse-limit and countably-many-variable topology precedent	P32 directed system, localizations, scalar gate, or normalization	https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A195258	anchor:none; institutional thesis full text available but not claim-verified; non-peer-reviewed; no theorem passage was reconstructed
P32-S25	VERIFIED	Completed local-ring and countably-many-variable context		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: adic_completion_background_only	NOT_CHECKED	Completed local-ring and countably-many-variable context	P32 owner product, scalar specialization, or normalization	https://doi.org/10.1017/FMP.2021.19	anchor:none; unrelated geometric application; exact P32 topology not supported; no theorem passage was reconstructed
P32-S26	VERIFIED	Elementary logarithmic and binomial expansions with domains		INCONCLUSIVE	UNEXTRACTED_AT_EXACT_PASSAGE_LEVEL; bounded support class: scalar_power_series_background_only	NOT_CHECKED	Elementary logarithmic and binomial expansions with domains	d=0 substitution, Hahn order, owner normalization, or project endpoint	https://dlmf.nist.gov/4.6	anchor:none; institutional page inspected; model-specific inference remains excluded; no theorem passage was reconstructed
P32-CW01	VERIFIED	surface-group finite-set automorphism decision as an algorithmic neighbor	publisher abstract on the article landing page	FINALIZED_NARROW_ABSTRACT_SCOPE	fundamental group of a closed surface; two supplied finite sets; automorphism-orbit question	NOT_CHECKED_IN_BOUNDED_SEARCH	For a closed-surface fundamental group, decides whether an automorphism sends one specified finite set to another and finds one when it exists; the abstract also states a surface-with-boundary extension.	does not supply the frozen oriented-conjugacy owner bytes, maximal-root proof, inverse policy, or prefix-completeness certificate	https://www.sciencedirect.com/science/article/pii/S0040938399000270	Paraphrase only; no direct quotation and no theorem transfer beyond the named passage scope.
P32-CW02	VERIFIED	finite-index Fuchsian-group zeta factorization as a cover-product neighbor	MathNet article record, Abstract, and bibliographic lines for volume 21(3), pp. 435--443	FINALIZED_NARROW_ABSTRACT_SCOPE	arbitrary subgroup of finite index in a Fuchsian group of the first kind; zeta/scattering objects named in the abstract	NOT_CHECKED_IN_BOUNDED_SEARCH	Factorization formulas for the Selberg zeta function and automorphic scattering determinant for arbitrary finite-index subgroups of first-kind Fuchsian groups.	does not derive P32 ownerwise lift multiplicity, primitive-lift status, or the fixed 1/N time and 1/N^3 logarithmic normalizations, especially for zero content	https://www.mathnet.ru/eng/im1700	Paraphrase only; no direct quotation and no theorem transfer beyond the named passage scope.
P32-CW03	VERIFIED	support and convolution discipline for generalized formal series	publisher abstract; author manuscript pp. 1--3, Section 2 and Theorem 1	FINALIZED_NARROW_PASSAGE_SCOPE	ring coefficients and the strict partially ordered monoid/finitary-support conditions stated in the paper	NOT_CHECKED_IN_BOUNDED_SEARCH	Relates Ribenboim generalized power-series rings to partially ordered monoids and finitary supports and states a ring construction under its declared strictness/support hypotheses.	does not define P32's frozen finite-owner/degree inverse system, one-owner zero-content type, localization embeddings, singleton maps, factor derivation, or scalar tail	https://www.sciencedirect.com/science/article/pii/S1571066118300823	Paraphrase only; no direct quotation and no theorem transfer beyond the named passage scope.
P32-CW04	VERIFIED	periodic-orbit zeta and convergence-method positioning	Numdam publisher record and contents; monograph Introduction and Chapter 5 (Periodic Points and Zeta Functions), beginning p. 73	FINALIZED_NARROW_MONOGRAPH_SCOPE	hyperbolic-dynamical and symbolic/thermodynamic settings specified chapter by chapter; no P32 owner schedule is assumed	NOT_CHECKED_IN_BOUNDED_SEARCH	A monograph-scale thermodynamic and periodic-orbit zeta program, including a chapter explicitly devoted to periodic points and zeta functions.	does not establish P32's exact owner/modulus logarithmic summand, compact majorant, cofinal enumeration, AN-1--AN-5 interchanges, or zero-content comparison	https://numdam.org/item/AST_1990__187-188__1_0/	Paraphrase only; no direct quotation and no theorem transfer beyond the named passage scope.
