source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P29-S01	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.1016/j.aim.2020.107377	Can support exact Picard-group object identity and primitive-geodesic terminology; cannot support an ideal-owner map, owner quotient, or S_H. Publisher DOI metadata match; second-checked on Chalmers institutional record.
P29-S02	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.2140/ant.2022.16.1845	Can support the exact PSL_2(Z[i]) geodesic object and Gaussian arithmetic setting; cannot support formal owner admissibility, split-ideal selection, or finite refinement. Second-checked on CaltechAUTHORS.
P29-S03	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1093/imrn/rnaa128	Can support the relevance of Gaussian arithmetic and ideals to Picard prime-geodesic analysis; cannot support a unique primitive-class-to-prime-ideal assignment. Second-checked on the Hungarian Academy repository.
P29-S04	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1515/form.2001.034	Can support historical Picard-manifold prime-geodesic context; cannot support an unconditional owner algorithm or Paper-29 certificate.
P29-S05	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.3792/pjaa.77.130	Can support hyperbolic-3/Bianchi prime-geodesic context; cannot support computable conjugacy, primitive-root, or owner certificates. Second-checked on Tohoku University record.
P29-S06	VERIFIED	EXACT_CORRECTION_BOUND	VI	C	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1002/mana.201700190	Can support broad hyperbolic-3/Bianchi prime-geodesic context only when bound to S07; cannot support corrected error-term exponents alone or any owner-map claim.
P29-S07	VERIFIED	EXACT	VI	B	ESTABLISHED_JOURNAL_CORRECTION_RECORD_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1002/mana.201800467	Can support the explicit correction relationship and corrected analytic boundary for S06; cannot support owner selection, quotient certification, or S_H. Correction observation is not a structured retraction check.
P29-S08	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.1093/imrn/rnab048	Can support primitive conjugacy-class and inversion/unoriented concepts in hyperbolic 3-manifolds; cannot automatically transfer a compact-lattice result to a complete Picard-group decision procedure. Second-checked on Bryn Mawr repository.
P29-S09	VERIFIED	RESOLVED_POST_VERIFICATION	VI	C	AUTHORITATIVE_ARXIV_PREPRINT_NOT_PEER_REVIEWED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://arxiv.org/abs/2407.17959	Official first-party arXiv title now matches the post-patch bibliography and inventory under manifest R10PH2-C01; can support current preprint context for the exact Picard quotient and Gaussian conventions; cannot support peer-reviewed evidence, owner-map admissibility, or quotient completeness.
P29-S10	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1090/S0025-5718-2015-02939-1	Can support explicit arithmetic-Kleinian fundamental-domain and presentation algorithms; cannot support a complete conjugacy, maximal-root, or unoriented-owner algorithm. Second-checked on Universite de Bordeaux record.
