kind,fixture,weights,power,word,actual,expected,aggregate_exact,wordwise_selector_exact,interpretation
aggregate_power,0,1|2|3,1,NA,6,6,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,2,NA,14,14,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,3,NA,36,36,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,4,NA,98,98,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,5,NA,276,276,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,6,NA,794,794,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,7,NA,2316,2316,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,0,1|2|3,8,NA,6818,6818,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,1,NA,10,10,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,2,NA,78,78,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,3,NA,460,460,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,4,NA,3042,3042,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,5,NA,19900,19900,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,6,NA,133338,133338,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,7,NA,901540,901540,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,1,-2|5|7,8,NA,6155682,6155682,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,1,NA,-1,-1,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,2,NA,25,25,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,3,NA,-37,-37,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,4,NA,337,337,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,5,NA,-781,-781,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,6,NA,4825,4825,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,7,NA,-14197,-14197,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,2,0|3|-4,8,NA,72097,72097,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,1,NA,12,12,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,2,NA,126,126,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,3,NA,1338,1338,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,4,NA,14658,14658,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,5,NA,161082,161082,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,6,NA,1771626,1771626,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,7,NA,19487298,19487298,True,NA,aggregate_pass_does_not_test_oriented_necklaces
aggregate_power,3,11|-1|2,8,NA,214359138,214359138,True,NA,aggregate_pass_does_not_test_oriented_necklaces
mixed_word_witness,NA,NA,3,0|1|2,1,1,NA,False,oriented_defects_cancel_only_after_abelianization
mixed_word_witness,NA,NA,3,2|1|0,-1,-1,NA,False,oriented_defects_cancel_only_after_abelianization
