block,evidence_class,population,primary_metric,value,failures,scope_note
positive_height_windows,EXACT_FINITE_LEDGER_PLUS_INDEPENDENT_DAG_CHECK,520,strict_height_edges,520,0,"r=4 baseline; r=2,3,5 controls; infinite DAG conclusion owned by math lock"
symmetric_two_step_backtracks,EXACT_EDGEWISE_CONSTRUCTION,520,hashimoto_rejected_backtracks,520,0,one reverse arc added for each frozen positive edge
hashimoto_word_census,EXHAUSTIVE_FOR_FROZEN_LENGTH_AND_BASES,699040,primitive_cyclic_nb_closed_words,88,0,126553 admissible and 88 cyclic nonbacktracking closed words through length 8
affine_relation_witnesses,EXACT_SYMBOLIC_WITNESSES,8,closed_primitive_length_r_plus_3,8,0,"two bases for each r; authority U/V weights are one, so every relation witness has weight one"
commutation_and_monoid_controls,EXACT_GENERIC_CONTROLS,8,generic_relation_cycles_survive,1,0,generic dilation labels and arbitrary one-relator mutations; no arithmetic acceptance labels
operator_certificates,FINITE_WITNESS_SEQUENCES_NOT_NUMERICAL_PROOF,4,exact_disjoint_support_certificates,1,0,analytic boundedness/noncompactness and full-monoid boundary owned by math lock
finite_quotients,EXHAUSTIVE_FOR_Q_1_THROUGH_12,48,relation_and_Uq_cycles_retained,48,0,14 small-modulus rows have a non-simple relation polygon
bc_diagonal_firewall,EXACT_FINITE_RATIONAL_COEFFICIENT_IDENTITY,2,Tr_Dm_over_m_log_coefficients,2,0,"beta=2,3 and cutoff 12; no infinite zeta identity inferred from cutoff"
prime_fock_marker_firewall,EVALUATOR_ONLY_EXACT_CONTROL,8,occupation_series_methods_equal,1,0,prime-indexed basis is deliberately preloaded after source freeze; z counts occupation
signed_matrix_groupoid_boundary,EXACT_BOUNDARY_FIXTURES,3,boundary_gate_pass,1,0,signed and matrix examples are exact; groupoid same-object question remains open
