source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
S01	Nazarenko (2013)	control_geometry	VERIFIED	A	CONTROL_CONSTRUCTION_PRIMARY	Two-parameter compact genus-two octagon construction, presentation, and explicit SU(1,1) generators.	No source-level proof of the frozen specialization's nonarithmeticity, systole, census, or certificate contract.	DIRECT_OBJECT_SOURCE_FOR_CONTROL_FAMILY	Official arXiv full text; author preprint is not peer reviewed; project specialization remains a separate derivation.
S02	Aigon-Dupuy et al. (2005)	control_geometry	S2_VERIFIED	B	CONTROL_FAMILY_CORROBORATION	Peer-reviewed genus-two octagon-family and Fuchsian-generator context.	No selection, nonarithmeticity proof, or census closure for the frozen parameter.	FAMILY_LEVEL_CORROBORATION_ONLY	S2 exact title/year and DOI/Crossref author replay; publisher abstract and institutional metadata; no frozen-parameter locator licensed.
S03	Takeuchi (1975)	control_nonarithmeticity	S2_VERIFIED	A	NONARITHMETICITY_CRITERION_PRIMARY	Arithmetic-Fuchsian trace-field criterion usable as one ingredient in a separate exact derivation.	No project-specific application to the Nazarenko specialization or frozen trace formula.	THEOREM_INGREDIENT_REQUIRES_PROJECT_INSTANTIATION	Official journal full text exists; bind the visible 2006 citation/PDF correction and do not treat it as a retraction.
S04	Popescu (2024)	control_nonarithmeticity	VERIFIED	B	TRANSCENDENCE_THEOREM_INGREDIENT	Modern proof source for the Lindemann-Weierstrass ingredient relevant to expressions involving exp(-1/5).	No Fuchsian-group, arithmeticity, systole, or P33 census conclusion.	THEOREM_INGREDIENT_REQUIRES_PROJECT_INSTANTIATION	Author preprint plus book record; book-chapter peer review unconfirmed and 2023 registration versus 2024 issue year retained.
S05	Aurich et al. (1991)	bolza_length_context	S2_VERIFIED	B	BOLZA_LENGTH_ENUMERATION_PRIMARY	Regular-octagon matrices, length law, multiplicity, and periodic-orbit enumeration precedent.	No P33 full-group conjugacy modulo inversion, no-proper-power proof, or zero-unresolved cutoff certificate.	TARGET_SIDE_ENUMERATION_PRECEDENT_ONLY	S2 exact title/year; publisher abstract and metadata only in the frozen corpus; theorem-level details have no exact locator here.
S06	Jenni (1984)	bolza_systolic_context	PLAUSIBLE	C	BOLZA_SYSTOLE_CONTEXT_ONLY	Authoritative historical context for the regular-octagon and Bolza systolic literature.	No independent support for the exact frozen systole inequality or P33 replay without a pinpointed theorem location.	CONTEXT_ONLY_NOT_EXECUTION_INPUT	EuDML and ETH archive identity confirmed, but exact theorem page is unpinned; retain PLAUSIBLE and context-only status.
S07	Schmutz (1993)	bolza_systolic_context	S2_VERIFIED	B	BOLZA_SYSTOLIC_CONTEXT	Primary systolic and extremal context for constant-curvature Riemann surfaces.	No exact Bolza replay formula, primitive-owner census, or completeness certificate.	CONTEXT_COMPATIBLE_BUT_NONINSTANTIATING	Publisher metadata and abstract; registry title-spelling variant retained and no P33 theorem locator licensed.
S08	Katz et al. (2016)	bolza_group_context	VERIFIED	A	BOLZA_EXACT_GROUP_PRIMARY	Detailed Bolza arithmetic-Fuchsian and quaternion-order structure for an independent exact-group cross-check.	No complete two-surface owner manifest; example sampling is not exhaustive P33 closure.	DIRECT_TARGET_GROUP_CONTEXT	Author preprint and DOI metadata; S2 year reflects the 2014 preprint rather than the 2016 journal issue.
S09	Grácio and Sousa Ramos (2010)	length_spectrum_methods	S2_VERIFIED	B	GENUS_TWO_LENGTH_SPECTRUM_METHOD	Symbolic-dynamics and fundamental-group-word methods for genus-two length-spectrum computation.	No proof of P33 full conjugacy, inversion pairing, primitivity, deterministic serialization, or completeness.	METHOD_PRECEDENT_REQUIRES_STRONGER_QUOTIENT_LAYER	S2 exact title/year; institutional full text exists; its explicit computations are not a P33 certificate.
S10	Voight (2009)	domain_and_presentation_algorithms	S2_VERIFIED	B	FUCHSIAN_DOMAIN_ALGORITHM_PRIMARY	Exact domain, invariant, presentation, reduction, and word-problem algorithms for suitable cofinite Fuchsian input.	No turnkey treatment of the transcendental control and no positive/negative conjugacy or cutoff-completeness payload.	PARTIAL_P33_RC_1_COMPONENT_INPUT_RESTRICTED	Official journal full text; S2 year 2008 versus journal year 2009 is within the allowed window; algebraic input is not automatically compatible with the transcendental control.
