control_id,rejected_claim,negative_detected,witness
NEG-NONT0-FACTOR,removing T0 still forces time-only factorization,true,explicit continuous nonfactor map exists
NEG-WRONG-SCALE-ONE,alpha=1 maps every unequal period pair,true,identity-scale covariance fails for every unequal pair
NEG-WRONG-SCALE-RECIPROCAL,alpha=L/M maps G_L to G_M,true,required direction is alpha=M/L
NEG-TOPOLOGY-DIRECTION,the actual indiscrete orbit maps continuously back to the standard quotient,true,only standard-to-actual theta is continuous
NEG-STRICT-CONVERSE,equal period subgroup implies a strict marked morphism,true,orientation reversal preserves subgroup and changes mark sign
NEG-UNIVERSAL-LATTICE,every generic stabilizer is a positive rank-one lattice,true,"R, {0}, and Q are frozen non-lattice controls"
NEG-NONTRANS-UNIFORM,unit-independent period holds without transitivity,true,the two components have Z and 2Z
NEG-PACKET-ORBIT-PROMOTION,one packet unit suffices for every-unit promotion,true,an injected mismatched unit is detected
NEG-LABEL-SPECIFICITY,generic controls select the prime-labelled clock,true,all 24 label assignments retain one signature
NEG-NONLINEAR-COCYCLE,a quadratic clock is an additive one-cocycle,true,quadratic Cauchy defect reaches 8
NEG-D2-WRONG-SIGN,all-positive face sum also squares to zero,true,removing alternating signs produces a nonzero coefficient
NEG-STRICT-DILATION,unequal-period dilation is strictly R-equivariant in the target category,true,dilation is semilinear and stays outside the strict target
