source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P32-S01	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_normal_forms_only	https://doi.org/10.1007/BF00146825	Exact DOI metadata supports finite combinatorial structure for cocompact hyperbolic groups; it does not instantiate the marked genus-two owner interface, root policy, or prefix-completeness certificate.
P32-S02	VERIFIED	EXACT_AFTER_AUTHORIZED_CORRECTION	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_conjugacy_only	https://doi.org/10.1142/S0218196706002986	RESOLVED_POST_VERIFICATION; initial finding P32-ERR-01 recorded inventory pages 287-306 against verified 287-305; pre bibliography SHA 435056bfd8fa7cfdd279a25079105025ab349c65604515fcc43fbe8e14bc9dfa and pre inventory SHA fa875cbe05a2a73957fb80c6276d981540334d0efca76e74ce595b775ae1ad5c; correction R10PH2-C05 bound to manifest SHA 59506776c0c536dbfd5b3ee511dd0ac0a52ae74548d08f3cd0dfb7ec9a8fd49c; current bibliography SHA 2480eb3c3fce30fd9535cf7004c99f3cbc0babfc80b81bc1966827fac621a2a7 and inventory SHA c375c1e7e8310d6d5a1aa4509147a2d4b61b75fe3283b6d148fd0c61f2e76d8e both record 287-305; the theorem still does not yield deterministic genus-two owner serialization, maximal roots, or certified prefix completion.
P32-S03	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_subset_conjugacy_only	https://doi.org/10.1142/S0218196705002529	Exact DOI metadata supports conjugacy of finite subsets in hyperbolic groups; it does not bind SG2OwnerCanonical-v1 or certify that all earlier raw words were resolved.
P32-S04	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_list_conjugacy_only	https://doi.org/10.1142/S0218196713500203	Exact DOI metadata supports finite-list conjugacy algorithms; theorem-to-code binding, orientation, root extraction, and enumeration completeness remain separate obligations.
P32-S05	VERIFIED	EXACT	VI	A	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_root_extraction_only	https://www.mathnet.ru/eng/im1275	MathNet and DOI records exactly confirm the article and its root-extraction theorem surface; return schema, uniqueness in the frozen group, owner composition, and prefix certificates are not supplied.
P32-S06	VERIFIED	EXACT_PRIMARY_PREPRINT_RECORD	VI	C	LEGITIMATE_PREPRINT_SERVER_NON_PEER_REVIEWED	CURRENT_2025_PREPRINT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	surface_group_preprint_candidate_only	https://arxiv.org/abs/2511.12862	The primary arXiv record confirms authors, title, v1 2025-11-17, v2 2025-12-27, normal forms, conjugacy, and root-finding; it is non-peer-reviewed and uses a symmetric presentation not silently identified with the frozen marked presentation.
P32-S07	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	finite_abelian_surface_cover_background_only	https://doi.org/10.1017/S0017089500005632	Exact DOI metadata supports finite abelian surface-cover structure; it does not derive the frozen owner order, lift multiplicity, period, or normalization.
P32-S08	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	riemannian_cover_background_only	https://doi.org/10.2307/1971195	Exact DOI metadata supports finite Riemannian coverings and group actions; it cannot establish independent-owner lift factors or the 1/N and 1/N^3 normalization.
P32-S09	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	homology_geodesic_asymptotics_only	https://doi.org/10.1215/S0012-7094-87-05515-3	Exact DOI metadata supports geodesic distribution by homology class; it does not certify canonical owner enumeration or the finite diagnostic panel.
P32-S10	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	homology_geodesic_asymptotics_only	https://doi.org/10.2307/2374542	Exact DOI metadata supports homology distributions of closed geodesics; it does not prove ownerwise lift orders or a target-blind panel.
P32-S11	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	homology_orbit_asymptotics_only	https://doi.org/10.1007/BF02699875	Exact DOI metadata supports asymptotics of closed orbits in homology classes; primitive-only owner compatibility and compact-uniform product tails require separate proof.
P32-S12	VERIFIED	EXACT	VI	C	RECOGNIZED_SCHOLARLY_BOOK_CHAPTER_NOT_PR_COUNTED_PREDATORY_SCREEN_LIMITED	CURRENT_2023_SCHOLARLY_CHAPTER	UNKNOWN_NOT_CHECKED	NOT_CHECKED	cover_splitting_background_only	https://doi.org/10.1007/978-3-031-27704-7_10	Exact Springer chapter DOI metadata supports modern decomposition and prime-geodesic splitting language; it does not declare P32 normalization, topology, or endpoint.
