source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
P30-S01	Gaspard and Rice (1989)	Classical three-disk physical dynamics	VERIFIED	A	DIRECT_PREREQUISITE	Classical three-hard-disk model, collision coding, physical geometry, and geometrical lengths	No project roof-ledger fidelity, operator space, or determinant certificate	physical_object_anchor	anchor:none; correction DOI 10.1063/1.457669 mandatory for formula-level use; COI unknown and retraction not checked
P30-S02	Gaspard and Rice (1989)	Semiclassical three-disk orbit construction	VERIFIED	B	BACKGROUND_ONLY	Semiclassical periodic-orbit and Ruelle-zeta construction as a typed comparator	No identification with the classical physical-roof determinant	semiclassical_type_boundary	anchor:none; correction DOI 10.1063/1.457669 mandatory for affected use; COI unknown and retraction not checked
P30-S03	Gaspard and Rice (1989)	Exact-quantum three-disk determinant	VERIFIED	C	BACKGROUND_ONLY	Exact quantum S-matrix or multiscattering determinant as a typed comparator	No substitution for the classical transfer determinant or proof of roof specificity	exact_quantum_type_boundary	anchor:none; correction DOI 10.1063/1.457670 mandatory for affected use; COI unknown and retraction not checked
P30-S04	Cvitanovic and Eckhardt (1989)	Three-disk periodic-orbit organization	VERIFIED	B	ADJACENT_METHOD	Periodic-orbit and cycle organization in three-disk chaotic scattering	No nuclearity, common coefficient basis, or four-error certificate	cycle_organization_component	anchor:none; short physics article and abstract-level scope; COI unknown and retraction not checked
P30-S05	Cvitanovic and Eckhardt (1991)	Classical smooth-flow cycle expansion	VERIFIED	B	ADJACENT_METHOD	Cycle-expansion organization and periodic-orbit weights for classical smooth flows	No project-specific convergence or coefficient accuracy	cycle_expansion_component	anchor:none; example behavior does not instantiate project cutoffs; COI unknown and retraction not checked
P30-S06	Wirzba (1999)	N-disk coding and typed determinants	VERIFIED	B	BACKGROUND_ONLY	N-disk itineraries and distinctions among quantum, semiclassical, and classical periodic-orbit objects	No transfer of quantum trace-class determinant results to the frozen classical roof operator	typed_object_firewall	anchor:none; detailed review or primary scope but determinant types remain separate; COI unknown and retraction not checked
P30-S07	Bowen (1973)	Symbolic hyperbolic-flow coding	VERIFIED	A	DIRECT_PREREQUISITE	General Markov or symbolic coding interface for a hyperbolic flow and return-time roof	No identification of the exact three-disk section, branches, or pointwise flight roof	coding_interface_component	anchor:none; general-flow applicability requires exact object matching; COI unknown and retraction not checked
P30-S08	Bowen and Ruelle (1975)	Axiom-A suspension framework	VERIFIED	B	BACKGROUND_ONLY	General Axiom-A suspension, periodic-orbit, and thermodynamic framework	No automatic applicability to the open three-disk repeller or its function space	general_flow_transfer_boundary	anchor:none; exact open-billiard hypotheses unresolved; COI unknown and retraction not checked
P30-S09	Ikawa (1988)	Several-convex-obstacle geometry	VERIFIED	A	DIRECT_PREREQUISITE	Rigorous obstacle-scattering trajectory geometry and periodic-ray framework	No Paper-30 operator, coefficient window, determinant, or tolerance	open_obstacle_geometry_anchor	anchor:none; wave-decay framework does not instantiate the project operator; COI unknown and retraction not checked
P30-S10	Ikawa (1994)	Several-convex-body zeta and scattering	VERIFIED	B	BACKGROUND_ONLY	Primary bridge among obstacle trajectories, zeta functions, and scattering poles	No peer-reviewed-journal weight, roof fidelity, or cross-roof nontransfer	zeta_scattering_context_only	anchor:none; proceedings article not counted as peer reviewed; COI unknown and retraction not checked
P30-S11	Stoyanov (2001)	Open-billiard Ruelle operator	VERIFIED	A	DIRECT_PREREQUISITE	Direct Ruelle-operator and return-time-weight support for planar open billiards under stated hypotheses	No applicability without matching geometry, visibility, coding, normalization, roof, and function space	closest_operator_component	anchor:none; exact d=6a hypothesis map and operator serialization absent; COI unknown and retraction not checked
P30-S12	Stoyanov (2011)	Axiom-A transfer spectrum	VERIFIED	B	ADJACENT_METHOD	Conditional spectral estimates for transfer operators with general potentials	No theorem for every open billiard or choice of rank, orbit cutoff, basis, or window	hypothesis_limited_spectral_component	anchor:none; abstract-level scope and exact object transfer unresolved; COI unknown and retraction not checked
P30-S13	Ruelle (1976)	Periodic-zeta transfer identity	VERIFIED	A	DIRECT_PREREQUISITE	Periodic-zeta and transfer identities for the stated expanding or Anosov systems	No physical specificity because consistent control roofs can share the identity	roof_agnostic_calibration_anchor	anchor:none; theorem hypotheses and project roof/operator remain uninstantiated; COI unknown and retraction not checked
P30-S14	Ruelle (1990)	Fredholm determinant machinery	VERIFIED	A	DIRECT_PREREQUISITE	Fredholm-type dynamical determinant machinery under stated contraction or smoothness hypotheses	No nuclearity of an unconstructed project operator or distinction of physical from control roofs	determinant_algebra_component	anchor:none; full-text scope inspected but no exact project applicability locator; COI unknown and retraction not checked
P30-S15	Pollicott (1986)	Generalized Axiom-A zeta	VERIFIED	B	ADJACENT_METHOD	Meromorphic continuation of generalized zeta functions in the stated Axiom-A setting	No pointwise three-disk roof or lawful finite-rank or orbit comparison	meromorphicity_component	anchor:none; general theorem requires object-specific hypothesis match; COI unknown and retraction not checked
P30-S16	Fried (1995)	Analytic-flow nuclear operator	VERIFIED	B	ADJACENT_METHOD	Meromorphic zeta and operator machinery for real-analytic flows and isolated compact hyperbolic sets	No applicability without analytic or model hypotheses and no complete four-error interface	analytic_operator_component	anchor:none; exact open-billiard domain and constants unresolved; COI unknown and retraction not checked
P30-S17	Giulietti et al. (2013)	Smooth Anosov dynamical zeta	VERIFIED	B	ADJACENT_METHOD	Meromorphicity for the stated smooth Anosov setting with the first part reported unaffected	No affected spectral-gap use without P30-S18 and no direct three-disk theorem	correction_bound_general_theory	anchor:none; EXACT_CORRECTION_BOUND and mandatory P30-S18 for affected Section 7 use; COI unknown and retraction not checked
P30-S18	Giulietti et al. (2022)	Transfer-zeta correction	VERIFIED	B	DIRECT_PREREQUISITE	Mandatory correction boundary for P30-S17 and statement that first-part meromorphicity is unaffected	No independent peer-reviewed support or physical-roof evidence	correction_companion	anchor:none; first-party non-peer-reviewed erratum; COI unknown and retraction not checked
P30-S19	Bandtlow and Jenkinson (2007)	Transfer-operator eigenvalue tail bounds	VERIFIED	B	ADJACENT_METHOD	Explicit a priori eigenvalue bounds on eligible transfer-operator spaces	No project tail bound before the operator space, constants, and hypotheses are instantiated	tail_error_component	anchor:none; metadata or abstract scope and constants not frozen; COI unknown and retraction not checked
P30-S20	Bandtlow and Jenkinson (2008)	Holomorphic transfer bounds	VERIFIED	B	ADJACENT_METHOD	Explicit spectral estimates on holomorphic or Bergman spaces	No proof that the three-disk operator or chosen basis meets those hypotheses	rank_error_component	anchor:none; exact holomorphic domain and basis map absent; COI unknown and retraction not checked
P30-S21	Wormell (2019)	Spectral Galerkin projection error	VERIFIED	B	ADJACENT_METHOD	Spectral-Galerkin error analysis for one-dimensional uniformly expanding Markov maps	No automatic transplantation to an open-billiard flow operator without a comparison map	projection_error_component	anchor:none; map-class mismatch and exact coefficient map unresolved; COI unknown and retraction not checked
P30-S22	Bornemann (2010)	Fredholm determinant numerical evaluation	VERIFIED	B	ADJACENT_METHOD	Numerical and quadrature error analysis for eligible trace-class integral-operator determinants	No trace-class proof, orbit-projection coefficient identity, or complete four-error contract	determinant_evaluation_component	anchor:none; numerical-method-only support and official 2010 issue year; COI unknown and retraction not checked
P30-S23	Livsic (1972)	Periodic-data cohomology obstruction	VERIFIED	A	DIRECT_PREREQUISITE	Periodic-data obstruction to cohomological triviality in stated hyperbolic or symbolic systems	No global positive cohomology conclusion from a finite orbit sample	negative_nontransfer_logic_anchor	anchor:none; exact theorem hypotheses and project periodic data unverified; COI unknown and retraction not checked
P30-S24	de la Llave et al. (1986)	Livsic equation regularity	VERIFIED	A	DIRECT_PREREQUISITE	Regularity and perturbative foundations for the Livsic cohomology equation	No replacement of all-periodic-sum hypotheses by finite or shuffled agreement	cohomology_hypothesis_component	anchor:none; general Anosov scope requires exact project mapping; COI unknown and retraction not checked
P30-S25	Kalinin (2011)	Matrix-cocycle Livsic context	VERIFIED	C	BACKGROUND_ONLY	Strong matrix-cocycle periodic-data and coboundary context	No necessity for the scalar roof problem or project-specific nontransfer	stronger_than_needed_context	anchor:none; stronger noncommutative setting supplies no exact three-disk data; COI unknown and retraction not checked
P30-S26	Sharp (2026)	Abelian Livsic extension	VERIFIED	B	BACKGROUND_ONLY	Current abelian Livsic extensions under stated homologically full transitive Anosov-flow hypotheses	No direct open-three-disk theorem or positive conclusion from the finite cutoff	current_scope_boundary	anchor:none; 2026 issue with 2025 online-first chronology and exact open-repeller applicability unresolved; COI unknown and retraction not checked
