schema_version,row_id,artifact,expected_rows,expected_columns,expected_negative_rows,oracle_class,tolerance_policy,canonical_order_key,scope,status
paper13-circle-twists-controls/1,TS-0001,nerve_factorization_controls.csv,280,17,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,owner_case|unit_id|degree|cochain_profile|t|u,FINITE_TIME_ONLY_WITNESS_NOT_TOPOLOGICAL_PROOF,PASS
paper13-circle-twists-controls/1,TS-0002,circle_multiplier_cocycle_controls.csv,500,20,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,k_index|t|u|v,FINITE_PHASE_GRID_DIAGNOSTIC_NOT_H2_PROOF,PASS
paper13-circle-twists-controls/1,TS-0003,lift_integer_defect_controls.csv,500,20,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,k_index|t|u|v,FINITE_LIFT_WRAP_DIAGNOSTIC_NOT_CONTINUOUS_LIFT_PROOF,PASS
paper13-circle-twists-controls/1,TS-0004,gauge_coboundary_controls.csv,196,19,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,k_index|t|u,FINITE_COBOUNDARY_SIGN_DIAGNOSTIC_NOT_H2_PROOF,PASS
paper13-circle-twists-controls/1,TS-0005,twisted_convolution_controls.csv,78,23,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,fixture_id|k_index|t,FINITE_LATTICE_SIGN_DIAGNOSTIC_ONLY,PASS
paper13-circle-twists-controls/1,TS-0006,twisted_involution_controls.csv,54,26,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,fixture_id|k_index|t,FINITE_LATTICE_SIGN_DIAGNOSTIC_ONLY,PASS
paper13-circle-twists-controls/1,TS-0007,completion_gauge_controls.csv,756,28,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,fixture_id|k_index|character_m|s|u|t,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,PASS
paper13-circle-twists-controls/1,TS-0008,action_period_nonretention_controls.csv,56,20,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,action_case_ordinal|k_index,FINITE_ACTION_SIGNATURE_DIAGNOSTIC_ONLY,PASS
paper13-circle-twists-controls/1,TS-0009,negative_domain_controls.csv,20,12,20,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,row_id,FAIL_CLOSED_DOMAIN_AND_CLAIM_FIREWALL,PASS
paper13-circle-twists-controls/1,TS-0010,actual_standard_support_transfer_controls.csv,96,21,27,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,q_case|function_id|gauge_id,ANALYTIC_BRANCH_LEDGER_FINITE_CONTROLS_NOT_PROOF,PASS
paper13-circle-twists-controls/1,TS-0011,target_summary.csv,12,11,0,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,artifact_ordinal,PACKAGE_METADATA_NO_SELF_DIGEST,PASS
paper13-circle-twists-controls/1,TS-0012,PACKAGE_TOTAL,2548,MIXED,47,COUNT_SCHEMA_NEGATIVE_TOTAL,EXACT_ZERO,ARTIFACT_ORDER_ABOVE,PACKAGE_AGGREGATE_NO_THEOREM_CREDIT,PASS
